Sample.date,sampling.week,sampling.week.end,treatment,Heated,Invasion,Mesocosm,rep,A_TotalAlgae,A_Green,A_Cyanobacteria,A_Chromophytes,A_Cryptophytes
23/03/21,44,45,C,N,N,2,1,9.21,7.01,0.63,1.57,0
23/03/21,44,45,C,N,N,7,2,2.78,0.9,0.38,1.5,0
23/03/21,44,45,C,N,N,13,3,6.3,5.65,0,0.65,0
23/03/21,44,45,C,N,N,17,4,67.9,67.9,0,0,0
23/03/21,44,45,C,N,N,21,5,0.36,0.17,0.16,0.02,0
23/03/21,44,45,C,N,N,24,6,9.47,8.15,0,1.31,0
30/03/21,45,46,C,N,N,2,1,25.65,22.11,0.68,2.85,0
30/03/21,45,46,C,N,N,7,2,4.01,1.48,0.27,2.27,0
30/03/21,45,46,C,N,N,13,3,4.66,3.51,0,1.15,0
30/03/21,45,46,C,N,N,17,4,87.48,85.27,0,2.21,0
30/03/21,45,46,C,N,N,21,5,1.1,0.53,0.26,0.3,0
30/03/21,45,46,C,N,N,24,6,19.34,16.23,0,3.11,0
6/04/21,46,47,C,N,N,2,1,16.26,13.35,0.91,2,0
6/04/21,46,47,C,N,N,7,2,18.17,9.61,0,8.57,0
6/04/21,46,47,C,N,N,13,3,6.5,5.48,0.59,0.43,0
6/04/21,46,47,C,N,N,17,4,60.1,59.34,0,0.76,0
6/04/21,46,47,C,N,N,21,5,5.15,3.73,0,1.42,0
6/04/21,46,47,C,N,N,24,6,6.65,6.17,0,0.49,0
13/04/21,47,48,C,N,N,2,1,10.72,8.66,1.03,1.03,0
13/04/21,47,48,C,N,N,7,2,1.73,1.02,0.43,0.29,0
13/04/21,47,48,C,N,N,13,3,5.15,4.5,0.37,0.28,0
13/04/21,47,48,C,N,N,17,4,40.1,39.36,0,0.75,0
13/04/21,47,48,C,N,N,21,5,12.89,10.03,0,2.86,0
13/04/21,47,48,C,N,N,24,6,2.58,2.51,0.07,0,0
20/04/21,48,49,C,N,N,2,1,14.42,13.27,1.07,0.07,0
20/04/21,48,49,C,N,N,7,2,5.13,3.33,0.26,1.55,0
20/04/21,48,49,C,N,N,13,3,13.64,13.46,0.01,0.17,0
